"jjj","margin","n","true_es","scale","equiv","hdi","bf","tost"
1011,0.3,50,0.33,0.707106781186547,0.04084,0.0401744628066104,0.03968,0.00076
1012,0.1,100,0.33,0.707106781186547,0.00452,0.00440211301424684,0.00448,0
1013,0.2,100,0.33,0.707106781186547,0.0094,0.00988474467744517,0.00956,0
1014,0.3,100,0.33,0.707106781186547,0.03284,0.0304145990075236,0.03072,0.02824
1015,0.1,250,0.33,0.707106781186547,0.00016,0.000160019202304277,8e-05,0
1016,0.2,250,0.33,0.707106781186547,0.00088,0.000880105612673521,0.00088,8e-04
1017,0.3,250,0.33,0.707106781186547,0.02464,0.0247229667560107,0.02512,0.02448
1018,0.1,500,0.33,0.707106781186547,0,0,0,0
1019,0.2,500,0.33,0.707106781186547,0.00016,0.00016,0.00016,0.00016
1020,0.3,500,0.33,0.707106781186547,0.01568,0.01568,0.01564,0.01564
1021,0.1,50,0.34,0.707106781186547,0.01304,0.013765506202481,0.01352,0
1022,0.2,50,0.34,0.707106781186547,0.02024,0.0198479391756703,0.01972,0
1023,0.3,50,0.34,0.707106781186547,0.0378,0.036734693877551,0.03648,6e-04
1024,0.1,100,0.34,0.707106781186547,0.00392,0.00412263848863273,0.00428,0
1025,0.2,100,0.34,0.707106781186547,0.00852,0.00864553314121038,0.00824,0
1026,0.3,100,0.34,0.707106781186547,0.02804,0.0264569324367595,0.02664,0.02436
1027,0.1,250,0.34,0.707106781186547,4e-05,0,0,0
1028,0.2,250,0.34,0.707106781186547,6e-04,0.000600024000960038,6e-04,0.00056
1029,0.3,250,0.34,0.707106781186547,0.01876,0.0188407536301452,0.01888,0.01868
1030,0.1,500,0.34,0.707106781186547,0,0,0,0
1031,0.2,500,0.34,0.707106781186547,0.00012,0.00012,0.00012,0.00012
1032,0.3,500,0.34,0.707106781186547,0.01088,0.01088,0.01088,0.01084
1033,0.1,50,0.35,0.707106781186547,0.0128,0.0126020163226116,0.01256,0
1034,0.2,50,0.35,0.707106781186547,0.0178,0.0174027844455113,0.0184,0
1035,0.3,50,0.35,0.707106781186547,0.03468,0.0334853576572252,0.03308,0.00084
1036,0.1,100,0.35,0.707106781186547,0.00356,0.00356142456982793,0.0038,0
1037,0.2,100,0.35,0.707106781186547,0.00756,0.00788315326130452,0.00704,0
1038,0.3,100,0.35,0.707106781186547,0.02332,0.0217687074829932,0.02188,0.02048
1039,0.1,250,0.35,0.707106781186547,4e-05,4.00048005760691e-05,0,0
1040,0.2,250,0.35,0.707106781186547,0.00044,0.00044005280633676,0.00044,0.00044
1041,0.3,250,0.35,0.707106781186547,0.01416,0.0142417090050806,0.0144,0.01412
1042,0.1,500,0.35,0.707106781186547,0,0,0,0
1043,0.2,500,0.35,0.707106781186547,8e-05,8e-05,0.00012,8e-05
1044,0.3,500,0.35,0.707106781186547,0.00652,0.00656,0.00656,0.00652
1045,0.1,50,0.36,0.707106781186547,0.01208,0.0123639564660691,0.0122,0
1046,0.2,50,0.36,0.707106781186547,0.01768,0.016205185659411,0.0168,0
1047,0.3,50,0.36,0.707106781186547,0.03204,0.0302096670934699,0.02968,8e-04
1048,0.1,100,0.36,0.707106781186547,0.0034,0.00340108834827145,0.00328,0
1049,0.2,100,0.36,0.707106781186547,0.00608,0.00680217669654289,0.00648,0
1050,0.3,100,0.36,0.707106781186547,0.01988,0.019166133162612,0.0192,0.01788
1051,0.1,250,0.36,0.707106781186547,0,0,0,0
1052,0.2,250,0.36,0.707106781186547,0.00028,0.000280011200448018,0.00028,0.00028
1053,0.3,250,0.36,0.707106781186547,0.01104,0.0111204448177927,0.01124,0.011
1054,0.1,500,0.36,0.707106781186547,0,0,0,0
1055,0.2,500,0.36,0.707106781186547,4e-05,4e-05,4e-05,4e-05
1056,0.3,500,0.36,0.707106781186547,0.00432,0.00436,0.00448,0.00428
1057,0.1,50,0.37,0.707106781186547,0.01064,0.0108043217286915,0.01124,0
1058,0.2,50,0.37,0.707106781186547,0.0158,0.014765906362545,0.01552,0
